prompt,A,B,C,D,E,answer
"What is the main subject of the documentary film ""Black White + Gray: A Portrait of Sam Wagstaff and Robert Mapplethorpe""?",The American museum curator Sam Wagstaff.,The debate about public funding for the arts.,The New York art world of the 1970s.,The relationship between Sam Wagstaff and Robert Mapplethorpe.,The controversial fine art images by Robert Mapplethorpe.,D
"What is the population of Hademstorf, a municipality in Lower Saxony, Germany?",The population of Hademstorf is primarily composed of immigrants from neighboring countries.,The population of Hademstorf has been steadily increasing over the past decade.,Hademstorf has a relatively small population due to its rural location and limited economic opportunities.,"Hademstorf has a population of approximately 10,000 people.",Hademstorf has a population density of over 500 people per square kilometer.,C
"How did the town of Mutual, Oklahoma, fare during the 1970s and 1980s?",The town remained stagnant with no noticeable changes in population.,The town witnessed a moderate increase in its population.,The town suffered as a result of an economic downturn.,The town experienced a decline in population.,The town experienced significant population growth during this time period.,A
Where is Kabyle or Kabylian primarily spoken?,"South of Algeria, near the city of Oran.",East of the capital Algiers and in Algiers itself.,"Near the city of Tizi Ouzou, in the northwest of Algeria.","In the Sahara Desert, south of the city of Ghardaïa.",West of the capital Algiers.,B
What role did Princess Likelike play in the promotion of Hawaiian music?,She encouraged the musical education of her daughter and sponsored musical events.,She was a renowned composer and helped champion Hawaiian music.,"She composed the famous song ""ʻĀinahau"".",She was the patron of young musicians and composers.,She led one of the three royal music clubs in friendly competitions.,A
What style of architecture is featured in the Blount Building?,Gothic Revival,Art Deco,Neoclassical,Chicago school,Victorian,D
Which of the following statements is true about the genus Alvarezsaurus based on the provided Wikipedia excerpt?,Alvarezsaurus weighed approximately 10 kg.,Alvarezsaurus was named after the paleontologist José Bonaparte.,"Alvarezsaurus was a large dinosaur, measuring over 10 meters long.",Alvarezsaurus lived during the Jurassic period.,Alvarezsaurus is a species of alvarezsaurid dinosaur from the Early Cretaceous.,E
"What type of facility is Cornell Terminal in Markham, Ontario?",Shopping mall,Bus terminus,Hospital,Residential complex,Movie theater,B
"What is the historical significance of Moor High School in Starkville, Mississippi?","Moor High School was a public primary school in Starkville, Mississippi.","Moor High School was a historically white, public secondary school in Starkville, Mississippi.","Moor High School was a historically black, private secondary school in Starkville, Mississippi.","Moor High School was the first public secondary school in Starkville, Mississippi.","Moor High School was a historically black, public secondary school in Hattiesburg, Mississippi.",D
In which counties was the West Shore Conference located?,"Cuyahoga, Erie, and Lorain","Noble, Monroe, and Athens","Mahoning, Columbiana, and Carroll","Tuscarawas, Portage, and Medina","Summit, Stark, and Geauga",A
What is Oriol-en-Royans?,Oriol-en-Royans is a river in southeastern France that flows through the Drôme department and eventually merges with the Rhône River.,"Oriol-en-Royans is a commune in the Drôme department in southeastern France, known for its historic castles and medieval architecture.","Oriol-en-Royans is a mountain range located in southeastern France, known for its picturesque hiking trails and breathtaking views.","Oriol-en-Royans is a historic town in southeastern France, known for its rich cultural heritage and annual festivals.","Oriol-en-Royans is a famous winery and vineyard in southeastern France, renowned for its production of high-quality wines.",B
What is Spartak Arturovich Gogniyev known for?,"Spartak Arturovich Gogniyev is known for his prolific career as a professional football player in Russia, scoring the most goals in the history of the Russian Premier League.","Spartak Arturovich Gogniyev is known for his remarkable contributions to Russian literature, having written numerous acclaimed novels and poems.","Spartak Arturovich Gogniyev is known for his involvement in various philanthropic activities throughout Russia, particularly in the field of healthcare.","Spartak Arturovich Gogniyev is known for his remarkable achievements in the field of quantum physics, having made groundbreaking discoveries that revolutionized the understanding of the quantum world.","Spartak Arturovich Gogniyev is known for being a prominent Russian professional football coach, having managed several top-tier clubs in the country.",E
Where is 820 Fifth Avenue located?,"820 Fifth Avenue is a luxury cooperative located at the southwest corner of Fifth Avenue and East 63rd Street on the Upper East Side of Manhattan, New York City, United States.","820 Fifth Avenue is a luxury cooperative located at the northwest corner of Fifth Avenue and West 63rd Street on the Upper West Side of Manhattan, New York City, United States.","820 Fifth Avenue is a luxury cooperative located at the southeast corner of Fifth Avenue and East 63rd Street on the Upper East Side of Manhattan, New York City, United States.","820 Fifth Avenue is a luxury cooperative located at the northeast corner of Fifth Avenue and East 63rd Street on the Upper East Side of Manhattan, New York City, United States.","820 Fifth Avenue is a luxury cooperative located at the northeast corner of Fifth Avenue and West 63rd Street on the Upper West Side of Manhattan, New York City, United States.",D
What is the geographical location of Torsås Municipality in Sweden?,Torsås Municipality is located in the northernmost part of Kalmar County.,Torsås Municipality is the easternmost municipality in Kalmar County.,Torsås Municipality is the southernmost municipality in Kalmar County.,Torsås Municipality is located in the central part of Kalmar County.,Torsås Municipality is the westernmost municipality in Kalmar County.,C
